trial,time,word,social_ratings,social_ratings_mad,social_validPar_trial,social_validPar_time,social_included,tom_ratings,tom_ratings_mad,tom_validPar_trial,tom_validPar_time,tom_included,intentional_actions,all_actions,biological_motion,multiperson_ratings,multiperson_ratings_mad,multiperson_validPar_trial,multiperson_validPar_time,multiperson_included,indoor,outdoor,pos_label,neu_label,neg_label,pos_prob,neu_prob,neg_prob,character_speaking,physical_interactions,n_syllables,word_frequency,sentence_complexity_FleschKincaidGrade,frame_Self_motion,frame_Buildings,frame_Perception_experience,frame_Statement,frame_Personal_relationship,frame_People,frame_Arriving,frame_Kinship,social_annotations,tom_annotations,pos_tag_CC,pos_tag_DT,pos_tag_IN,pos_tag_JJ,pos_tag_NN,pos_tag_NNP,pos_tag_NNS,pos_tag_PRP,pos_tag_PRP$,pos_tag_RB,pos_tag_TO,pos_tag_VB,pos_tag_VBD,pos_tag_VBG,pos_tag_VBN,pos_tag_VBP,pos_tag_WP,pos_tag_RP,pos_tag_WRB,pos_tag_POS,pos_tag_CD,pos_tag_MD,pos_tag_VBZ,pos_tag_RBR
1,0.0,William,49.3,2.099999999999998,76,2,0.0,15.6,0.0,73,1,0.0,0.178217822,0.306930693,0.066037736,42.5,38.3,65.0,3,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,2.0,7.59e-05,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.23,William,51.29761904761905,2.288235294117648,76,6,0.0,30.087647058823528,20.412352941176472,73,2,0.0,0.178217822,0.306930693,0.066037736,42.4,8.100000000000001,65.0,5,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,2.0,7.59e-05,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.46,William,49.95,2.7499999999999964,76,8,0.0,47.1,12.299999999999995,73,5,0.0,0.178217822,0.306930693,0.066037736,45.946666666666665,21.059281437125748,65.0,6,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,2.0,7.59e-05,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.69,and,47.95,8.900000000000002,76,18,0.0,50.162179487179486,5.349585218702863,73,10,0.0,0.178217822,0.306930693,0.066037736,46.20011543178703,20.300000000000004,65.0,14,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.0257,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.92,and,45.91987951807229,5.576591070163001,76,24,0.0,56.9,9.4,73,23,0.0,0.178217822,0.306930693,0.066037736,54.75454545454546,10.793413729128012,65.0,21,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.0257,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.15,Johnny,44.41477272727273,6.174639037433153,76,33,0.0,50.5,13.046706586826351,73,29,0.0,0.178217822,0.306930693,0.066037736,50.2,9.083529411764708,65.0,29,0,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,2.0,2.24e-05,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.38,are,39.086746987951805,11.174698795180724,76,39,1.0,49.45,16.276190476190475,73,42,1.0,0.178217822,0.306930693,0.066037736,50.13181818181818,9.936046511627907,65.0,34,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.0055,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.61,brother-in-laws,34.4,16.332530120481927,76,46,1.0,49.0,17.1,73,47,1.0,0.178217822,0.306930693,0.066037736,50.2,9.43555555555556,65.0,39,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,3.0,4.83e-05,5.863636364,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.84,brother-in-laws,40.29939759036145,10.702841215608697,76,50,1.0,49.0,15.0,73,51,1.0,0.178217822,0.306930693,0.066037736,52.25,7.700000000000003,65.0,42,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,3.0,4.83e-05,5.863636364,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.07,who,42.2,19.04166666666667,76,53,1.0,49.607621247113165,18.551286787707063,73,54,1.0,0.178217822,0.306930693,0.066037736,53.7,10.557608695652178,65.0,43,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.00219,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.3,who,38.1,24.7,76,57,1.0,49.9,18.7,73,57,1.0,0.178217822,0.306930693,0.066037736,57.06564102564103,11.254529914529918,65.0,45,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.00219,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.53,been,39.13095238095238,19.704761904761902,76,58,1.0,49.75,17.394138355923246,73,58,1.0,0.178217822,0.306930693,0.066037736,53.7,12.800000000000004,65.0,45,1,0.5,0.5,0,1,0,0.0489799380302429,0.9459164142608644,0.0051036337390542,0.0,0.0,1.0,0.00186,5.863636364,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
