situation,time,word,biological_motion,nobiological_motion
1,0.0,Linda,0.037735849,0.962264151
1,0.23,and,0.037735849,0.962264151
1,0.46,and,0.037735849,0.962264151
1,0.69,Amy,0.037735849,0.962264151
1,0.92,had,0.037735849,0.962264151
1,1.15,had,0.037735849,0.962264151
1,1.38,been,0.037735849,0.962264151
1,1.61,best,0.037735849,0.962264151
1,1.84,friends,0.037735849,0.962264151
1,2.07,friends,0.037735849,0.962264151
1,2.3,since,0.037735849,0.962264151
1,2.53,kindergarten,0.037735849,0.962264151
1,2.76,kindergarten,0.037735849,0.962264151
1,2.99,they,0.179245283,0.820754717
1,3.22,even,0.179245283,0.820754717
1,3.45,even,0.179245283,0.820754717
1,3.68,found,0.179245283,0.820754717
1,3.91,homes,0.179245283,0.820754717
1,4.14,homes,0.179245283,0.820754717
1,4.37,on,0.179245283,0.820754717
1,4.6,the,0.179245283,0.820754717
1,4.83,the,0.179245283,0.820754717
1,5.06,same,0.179245283,0.820754717
1,5.29,street,0.179245283,0.820754717
1,5.52,in,0.179245283,0.820754717
1,5.75,in,0.179245283,0.820754717
1,5.98,the,0.179245283,0.820754717
1,6.21,forest,0.179245283,0.820754717
1,6.44,forest,0.179245283,0.820754717
1,6.67,on,0.179245283,0.820754717
1,6.9,the,0.179245283,0.820754717
1,7.13,the,0.179245283,0.820754717
1,7.36,edge,0.179245283,0.820754717
1,7.59,of,0.179245283,0.820754717
1,7.82,of,0.179245283,0.820754717
1,8.05,town,0.179245283,0.820754717
1,8.28,Their,0.235849057,0.764150943
1,8.51,biggest,0.235849057,0.764150943
1,8.74,biggest,0.235849057,0.764150943
1,8.97,fight,0.235849057,0.764150943
1,9.2,had,0.235849057,0.764150943
1,9.43,had,0.235849057,0.764150943
1,9.66,been,0.235849057,0.764150943
1,9.89,over,0.235849057,0.764150943
1,10.12,over,0.235849057,0.764150943
1,10.35,who,0.235849057,0.764150943
1,10.58,gets,0.235849057,0.764150943
1,10.81,gets,0.235849057,0.764150943
1,11.04,the,0.235849057,0.764150943
1,11.27,bigger,0.235849057,0.764150943
1,11.5,slice,0.235849057,0.764150943
1,11.73,slice,0.235849057,0.764150943
1,11.96,of,0.235849057,0.764150943
