situation,time,social_annotations,social_validPar_trial,social_validPar_time,social_ratings,social_ratings_mad,social_included,tom_annotations,tom_validPar_trial,tom_validPar_time,tom_ratings,tom_ratings_mad,tom_included,word,intentional_action,all_action
1,0.0,0.0,97,1,100.0,0.0,0,0.0,85,0,,25.3,0,Anna,0.465346535,0.683168317
1,0.23,0.0,97,5,75.0,17.5,0,0.0,85,2,74.7,24.8,0,Anna,0.465346535,0.683168317
1,0.46,0.0,97,7,67.664,6.836,0,0.0,85,3,74.2,8.15,0,Anna,0.465346535,0.683168317
1,0.69,0.0,97,17,58.07349398,10.05920826,0,0.0,85,6,58.4,7.2,0,and,0.465346535,0.683168317
1,0.92,0.0,97,25,61.5,14.97663551,0,0.0,85,15,53.6,6.394691781,0,her,0.465346535,0.683168317
1,1.15,0.0,97,31,56.8,11.55180723,0,0.0,85,24,52.9,9.8,0,husband,0.465346535,0.683168317
1,1.38,0.0,97,37,54.60510128,11.10510128,0,0.0,85,32,51.33615094,9.44950495,0,husband,0.465346535,0.683168317
1,1.61,0.0,97,45,53.55258815,6.052588147,0,0.0,85,39,50.8,14.88290766,0,Glen,0.465346535,0.683168317
1,1.84,0.0,97,51,52.50007502,6.616591648,1,0.0,85,45,49.9,15.54917161,1,Glen,0.465346535,0.683168317
1,2.07,0.0,97,56,51.18330475,11.11368017,1,0.0,85,50,49.9,13.59767895,1,Glen,0.465346535,0.683168317
1,2.3,0.0,97,60,51.53654877,14.86345123,1,0.0,85,52,49.76790146,11.3547619,1,were,0.465346535,0.683168317
1,2.53,0.0,97,62,51.15722892,22.78443775,1,0.0,85,56,49.95,10.86368262,1,were,0.465346535,0.683168317
1,2.76,0.0,97,64,51.17761194,16.12238806,1,0.0,85,58,49.4,10.96743413,1,in,0.465346535,0.683168317
1,2.99,0.0,97,65,50.32891566,21.12108434,1,0.0,85,59,48.9,13.65600655,1,prison,0.465346535,0.683168317
1,3.22,0.0,97,68,50.1,27.54939759,1,0.0,85,62,47.00600655,13.66699656,1,for,0.465346535,0.683168317
1,3.45,0.0,97,71,50.5,20.16190476,1,0.0,85,63,47.76071429,12.47831325,1,robbing,0.465346535,0.683168317
1,3.68,0.0,97,72,50.25,19.8,1,0.0,85,63,45.97831325,10.8,1,a,0.465346535,0.683168317
1,3.91,0.0,97,77,50.4,22.60240964,1,0.0,85,63,46.6,11.00549814,1,convenience,0.465346535,0.683168317
1,4.14,0.0,97,77,50.2,26.8,1,0.0,85,63,47.69450186,10.50362993,1,store,0.465346535,0.683168317
1,4.37,11.76470588,97,78,50.1,26.25,1,0.0,85,63,47.43778421,11.6,1,store,0.465346535,0.683168317
1,4.6,38.82352941,97,80,49.6,25.75,1,0.0,85,64,46.98755709,15.81705882,1,store,0.465346535,0.683168317
