situation,time,word,intentional_action,all_action
1,0.0,Gloria,0.772277228,0.8316831689999999
1,0.23,Gloria,0.772277228,0.8316831689999999
1,0.46,Gloria,0.772277228,0.8316831689999999
1,0.69,and,0.772277228,0.8316831689999999
1,0.92,and,0.772277228,0.8316831689999999
1,1.15,her,0.772277228,0.8316831689999999
1,1.38,brother,0.772277228,0.8316831689999999
1,1.61,Jim,0.772277228,0.8316831689999999
1,1.84,Jim,0.772277228,0.8316831689999999
1,2.07,had,0.772277228,0.8316831689999999
1,2.3,been,0.772277228,0.8316831689999999
1,2.53,planning,0.772277228,0.8316831689999999
1,2.76,a,0.772277228,0.8316831689999999
1,2.99,month,0.772277228,0.8316831689999999
1,3.22,long,0.772277228,0.8316831689999999
1,3.45,long,0.772277228,0.8316831689999999
1,3.68,vacation,0.772277228,0.8316831689999999
1,3.91,vacation,0.772277228,0.8316831689999999
1,4.14,together,0.772277228,0.8316831689999999
1,4.37,to,0.772277228,0.8316831689999999
1,4.6,a,0.772277228,0.8316831689999999
1,4.83,small,0.772277228,0.8316831689999999
1,5.06,town,0.772277228,0.8316831689999999
1,5.29,in,0.772277228,0.8316831689999999
1,5.52,Europe,0.772277228,0.8316831689999999
1,5.75,Europe,0.772277228,0.8316831689999999
1,5.98,The,0.683168317,0.742574258
1,6.21,The,0.683168317,0.742574258
1,6.44,The,0.683168317,0.742574258
1,6.67,before,0.683168317,0.742574258
1,6.9,before,0.683168317,0.742574258
1,7.13,their,0.683168317,0.742574258
1,7.36,trip,0.683168317,0.742574258
1,7.59,Gloria,0.683168317,0.742574258
1,7.82,Gloria,0.683168317,0.742574258
1,8.05,Gloria,0.683168317,0.742574258
1,8.28,informed,0.683168317,0.742574258
1,8.51,informed,0.683168317,0.742574258
1,8.74,Jim,0.683168317,0.742574258
1,8.97,that,0.306930693,0.524752475
1,9.2,she,0.306930693,0.524752475
1,9.43,couldn't,0.306930693,0.524752475
1,9.66,go,0.306930693,0.524752475
1,9.89,on,0.306930693,0.524752475
1,10.12,the,0.306930693,0.524752475
1,10.35,because,0.257425743,0.475247525
1,10.58,her,0.257425743,0.475247525
1,10.81,husband,0.257425743,0.475247525
1,11.04,husband,0.257425743,0.475247525
1,11.27,Steve,0.257425743,0.475247525
1,11.5,Steve,0.257425743,0.475247525
1,11.73,Steve,0.257425743,0.475247525
1,11.96,Steve,0.257425743,0.475247525
1,12.19,no,0.257425743,0.475247525
1,12.42,no,0.257425743,0.475247525
1,12.65,longer,0.257425743,0.475247525
1,12.88,wanted,0.257425743,0.475247525
1,13.11,her,0.257425743,0.475247525
1,13.34,to,0.257425743,0.475247525
1,13.57,go,0.257425743,0.475247525
1,13.8,go,0.257425743,0.475247525
1,14.03,go,0.257425743,0.475247525
1,14.26,go,0.257425743,0.475247525
1,14.49,go,0.257425743,0.475247525
1,14.72,go,0.257425743,0.475247525
1,14.95,go,0.257425743,0.475247525
1,15.18,go,0.257425743,0.475247525
1,15.41,go,0.257425743,0.475247525
1,15.64,go,0.257425743,0.475247525
2,15.87,Jim,0.326732673,0.445544554
2,16.1,Jim,0.326732673,0.445544554
2,16.33,Jim,0.326732673,0.445544554
2,16.56,understood,0.326732673,0.445544554
2,16.79,understood,0.326732673,0.445544554
2,17.02,but,0.742574257,0.811881188
2,17.25,decided,0.742574257,0.811881188
2,17.48,to,0.742574257,0.811881188
2,17.71,to,0.742574257,0.811881188
2,17.94,on,0.742574257,0.811881188
2,18.17,the,0.742574257,0.811881188
2,18.4,without,0.742574257,0.811881188
