situation,time,word,multiperson_ratings,multiperson_ratings_mad,multiperson_validPar_trial,multiperson_validPar_time,multiperson_included
1,0.0,Gloria,52.1,0.0,66.0,1,0
1,0.23,Gloria,52.0,0.0,66.0,1,0
1,0.46,Gloria,58.45,6.849999999999998,66.0,2,0
1,0.69,and,64.37294117647059,12.03676470588236,66.0,10,0
1,0.92,and,51.91616915422885,3.3416946797543794,66.0,18,0
1,1.15,her,51.65845771144279,4.480952380952381,66.0,24,0
1,1.38,brother,50.60149253731343,7.001492537313432,66.0,29,0
1,1.61,Jim,51.1,5.575000000000003,66.0,33,1
1,1.84,Jim,54.45843373493976,6.991181649675628,66.0,38,1
1,2.07,had,56.21526946107784,8.846600688468154,66.0,42,1
1,2.3,been,55.14457875457876,10.633864468864472,66.0,44,1
1,2.53,planning,58.83928571428572,9.469773519163764,66.0,46,1
1,2.76,a,59.4,12.186956521739129,66.0,47,1
1,2.99,month,61.22857142857143,11.699999999999996,66.0,48,1
1,3.22,long,64.3,14.099999999999994,66.0,49,1
1,3.45,long,65.29036144578313,14.290361445783134,66.0,49,1
1,3.68,vacation,65.92073170731706,15.24673170731706,66.0,50,1
1,3.91,vacation,66.1,16.299999999999997,66.0,52,1
1,4.14,together,67.6,17.799999999999997,66.0,53,1
1,4.37,to,67.6,17.799999999999997,66.0,53,1
1,4.6,a,65.15,15.779761904761909,66.0,54,1
1,4.83,small,65.15,16.88795180722891,66.0,56,1
1,5.06,town,68.21007549361208,18.68654608184738,66.0,56,1
1,5.29,in,66.55000000000001,17.35000000000001,66.0,58,1
1,5.52,Europe,65.3955490082601,17.83480813459704,66.0,58,1
1,5.75,Europe,70.4,21.000000000000007,66.0,59,1
1,5.98,The,71.53736263736265,21.73736263736265,66.0,59,1
1,6.21,The,71.7,21.77469879518073,66.0,63,1
1,6.44,The,71.7,21.6,66.0,63,1
1,6.67,before,65.46559139784947,16.834408602150532,66.0,63,1
1,6.9,before,65.1,21.200000000000003,66.0,63,1
1,7.13,their,63.66593406593407,21.53406593406593,66.0,64,1
1,7.36,trip,62.42411764705882,22.7,66.0,64,1
1,7.59,Gloria,62.05,22.6814606741573,66.0,64,1
1,7.82,Gloria,62.65119047619048,22.54880952380952,66.0,64,1
1,8.05,Gloria,62.6,24.300000000000004,66.0,65,1
1,8.28,informed,65.05,22.4,66.0,66,1
1,8.51,informed,62.05,23.95,66.0,66,1
1,8.74,Jim,62.05,22.85,66.0,66,1
1,8.97,that,63.2010752688172,21.62511520737328,66.0,66,1
1,9.2,she,64.33928571428571,20.65813953488372,66.0,66,1
1,9.43,couldn't,63.62710843373493,18.934337349397584,66.0,66,1
1,9.66,go,62.46337209302325,18.836627906976744,66.0,66,1
1,9.89,on,67.14770459081836,19.04698795180723,66.0,66,1
1,10.12,the,72.01216216216216,21.550337837837844,66.0,66,1
1,10.35,because,77.20121951219512,22.38106796116504,66.0,66,1
1,10.58,her,82.83915662650602,17.160843373493975,66.0,66,1
1,10.81,husband,82.9452380952381,17.054761904761904,66.0,66,1
1,11.04,husband,82.69629629629628,17.303703703703718,66.0,66,1
1,11.27,Steve,85.28333333333333,14.716666666666669,66.0,66,1
1,11.5,Steve,87.66071428571428,12.339285714285722,66.0,66,1
1,11.73,Steve,88.82307692307693,11.176923076923076,66.0,65,1
1,11.96,Steve,89.2,10.799999999999995,66.0,65,1
1,12.19,no,88.49090909090908,11.509090909090917,66.0,65,1
1,12.42,no,87.7,12.299999999999995,66.0,65,1
1,12.65,longer,88.6107142857143,11.389285714285704,66.0,65,1
1,12.88,wanted,88.7,11.299999999999995,66.0,65,1
1,13.11,her,88.12289156626505,11.877108433734946,66.0,65,1
1,13.34,to,88.7,11.299999999999995,66.0,65,1
1,13.57,go,88.6,11.400000000000006,66.0,65,1
1,13.8,go,89.24819277108433,10.751807228915666,66.0,65,1
1,14.03,go,88.7,11.299999999999995,66.0,65,1
1,14.26,go,88.7,11.299999999999995,66.0,65,1
1,14.49,go,87.7,12.299999999999995,66.0,65,1
1,14.72,go,87.7,12.299999999999995,66.0,65,1
1,14.95,go,88.7,11.299999999999995,66.0,65,1
1,15.18,go,88.7,11.299999999999995,66.0,65,1
1,15.41,go,88.7,11.299999999999995,66.0,65,1
1,15.64,go,88.7,11.299999999999995,66.0,65,1
2,15.87,Jim,55.55,3.9499999999999993,50.0,2,0
2,16.1,Jim,55.9,1.6999999999999955,50.0,5,0
2,16.33,Jim,55.81287128712871,4.676507650765068,50.0,7,0
2,16.56,understood,52.86927710843374,2.95,50.0,10,0
2,16.79,understood,55.06204819277109,4.662048192771088,50.0,14,0
2,17.02,but,54.65619047619048,4.8561904761904735,50.0,18,0
2,17.25,decided,57.41875,7.760918674698793,50.0,25,1
2,17.48,to,53.98176470588236,6.949999999999999,50.0,30,1
2,17.71,to,51.44216867469879,4.942168674698792,50.0,31,1
2,17.94,on,50.9,11.0,50.0,33,1
2,18.17,the,51.1,9.785333333333334,50.0,34,1
2,18.4,without,51.3,11.300000000000004,50.0,35,1
2,18.63,her,51.55301530153015,13.246984698469843,50.0,39,1
2,18.86,her,51.3,11.799999999999995,50.0,39,1
2,19.09,her,51.38510351035103,18.1803335292389,50.0,42,1
2,19.32,When,50.0,19.524741824440618,50.0,42,1
2,19.55,When,50.150000000000006,23.34523809523809,50.0,44,1
2,19.78,Jim,50.10722891566265,22.65618571848369,50.0,45,1
2,20.01,did,49.6,23.090659340659343,50.0,46,1
2,20.24,not,48.62222222222222,23.281682653876896,50.0,46,1
2,20.47,return,47.6,25.72696629213484,50.0,47,1
2,20.7,after,47.6,28.5,50.0,47,1
2,20.93,a,44.42409638554217,27.307429718875504,50.0,48,1
2,21.16,month,42.6,26.183846153846154,50.0,49,1
2,21.39,month,41.85,27.576136363636365,50.0,50,1
2,21.62,Gloria,32.08433734939759,19.45,50.0,50,1
2,21.85,Gloria,29.6,21.05,50.0,50,1
2,22.08,found,22.65,19.406024096385543,50.0,50,1
2,22.31,out,19.544117647058822,18.04214891980166,50.0,50,1
2,22.54,out,22.5889199655766,19.68631126992442,50.0,50,1
2,22.77,Jim,25.15,21.318072289156625,50.0,50,1
2,23.0,had,24.45,21.375546898411745,50.0,50,1
2,23.23,been,24.5,21.8,50.0,49,1
2,23.46,abducted,25.2,21.3,50.0,48,1
2,23.69,abducted,25.2,20.81913395265208,50.0,48,1
2,23.92,abducted,23.71475903614457,19.535714285714285,50.0,48,1
2,24.15,abducted,24.35,19.976190476190474,50.0,48,1
2,24.38,abducted,24.35,20.675862068965515,50.0,48,1
2,24.61,abducted,25.9,20.5,50.0,47,1
2,24.84,abducted,22.8,19.1,50.0,47,1
2,25.07,abducted,24.200000000000003,20.551851851851858,50.0,46,1
2,25.3,abducted,21.1,19.05,50.0,46,1
2,25.53,abducted,19.4,16.299999999999997,50.0,45,1
3,25.76,Gloria,,31.7,69.0,0,0
3,25.99,Gloria,48.1,23.7,69.0,3,0
3,26.22,Gloria,32.1,26.95652173913044,69.0,7,0
3,26.45,was,42.3,10.022499999999994,69.0,11,0
3,26.68,was,46.7775,8.056567734352043,69.0,21,0
3,26.91,devastated,49.30487804878049,21.29739491345815,69.0,27,0
3,27.14,devastated,47.7013422818792,21.6,69.0,31,0
3,27.37,and,48.2,23.629398762157383,69.0,33,0
3,27.6,looked,48.02507171543317,21.5793304365001,69.0,36,1
3,27.83,to,37.42210152083745,22.512337662337664,69.0,38,1
3,28.06,for,26.67975,22.4,69.0,40,1
3,28.29,support,24.3,19.5,69.0,41,1
3,28.52,support,24.0,19.089130434782607,69.0,43,1
3,28.75,support,31.28227848101266,16.654819277108437,69.0,46,1
3,28.98,Steve,33.695180722891564,17.462650602409646,69.0,48,1
3,29.21,Steve,42.8,22.64880952380952,69.0,49,1
3,29.44,Steve,48.54226789510986,22.373862947240752,69.0,50,1
3,29.67,was,50.2,22.78260869565218,69.0,50,1
3,29.9,not,50.5,21.38809523809524,69.0,51,1
3,30.13,supportive,52.73012048192771,20.29397590361445,69.0,52,1
3,30.36,in,54.506024096385545,18.1289156626506,69.0,55,1
3,30.59,in,59.4710843373494,18.36265060240963,69.0,56,1
3,30.82,way,60.82108433734941,16.04908616187989,69.0,56,1
3,31.05,that,60.9,13.65,69.0,59,1
3,31.28,needed,62.25,16.081144578313246,69.0,60,1
3,31.51,needed,66.53114457831325,17.200000000000003,69.0,62,1
3,31.74,so,68.42710843373493,18.4,69.0,64,1
3,31.97,so,68.91506024096385,18.0,69.0,64,1
3,32.2,she,69.7,19.0,69.0,65,1
3,32.43,turned,71.0,18.52771084337347,69.0,65,1
3,32.66,to,71.9,16.900000000000006,69.0,65,1
3,32.89,a,71.2,19.39999999999999,69.0,65,1
3,33.12,coworker,71.9,18.707692307692305,69.0,65,1
3,33.35,named,72.8076923076923,18.14476744186045,69.0,65,1
3,33.58,Derek,73.9,16.668505421970767,69.0,66,1
3,33.81,Derek,73.825,13.2,69.0,66,1
3,34.04,and,75.75,15.383500000000002,69.0,66,1
3,34.27,he,77.75,19.40632183908047,69.0,66,1
3,34.5,there,78.64367816091954,17.88005148005147,69.0,66,1
3,34.73,for,79.74761904761904,14.772289156626512,69.0,67,1
3,34.96,in,82.8,14.507920792079204,69.0,67,1
3,35.19,every,83.3,14.0,69.0,67,1
3,35.42,way,84.2,15.399999999999991,69.0,67,1
3,35.65,way,83.7,14.438095238095244,69.0,67,1
3,35.88,possible,84.76190476190476,12.79156626506024,69.0,67,1
3,36.11,possible,86.40843373493976,11.529687499999994,69.0,67,1
3,36.34,The,87.9,11.299999999999995,69.0,67,1
3,36.57,The,88.0,12.0,69.0,67,1
3,36.8,The,88.0,12.0,69.0,69,1
3,37.03,of,88.0,9.517826825127315,69.0,69,1
3,37.26,them,90.48217317487268,10.200000000000005,69.0,69,1
3,37.49,spending,89.8,11.900000000000006,69.0,69,1
3,37.72,spending,88.1,10.5,69.0,69,1
3,37.95,a,89.5,10.200000000000005,69.0,69,1
3,38.18,lot,89.8,9.200000000000005,69.0,69,1
3,38.41,of,90.8,9.14285714285714,69.0,69,1
3,38.64,time,90.85714285714286,8.299999999999997,69.0,69,1
3,38.87,together,91.7,6.712195121951197,69.0,69,1
