consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
0,8.6943,y,8.369,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,8.6946,12.1942,space,3.4681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,12.1945,26.9293,space,14.4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,26.9341,32.8126,space,5.8643,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,32.8133,52.194,space,19.3293,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,52.1948,62.8958,space,10.6751,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,62.8963,77.8784,space,14.9647,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,77.879,89.1601,space,11.2653,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,89.1604,97.4926,space,8.3083,,[],[],[],[],[],[],5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,665c19ed6674d8ab7f616b65,2025-07-07_20h36.16.441,group3.4_multiperson,2023.2.2,MacIntel,59.88023952,686c2ebf0248f13bef9af11f,686c913b1f210a081c6dfe7d,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4955,100.0759,100.1016,1,audio/Narrative13Situation2.wav,102.1105,,102.1108,131.8606,"[[999,1],[999,98],[999,181],[999,264],[999,349],[999,431],[999,515],[999,598],[999,681],[999,765],[999,849],[999,932],[999,1015],[999,1098],[999,1182],[999,1264],[999,1349],[999,1432],[999,1514],[999,1598],[999,1682],[999,1765],[999,1849],[999,1932],[999,2015],[999,2098],[999,2182],[999,2264],[999,2349],[999,2431],[999,2516],[999,2599],[999,2682],[999,2764],[999,2849],[999,2931],[999,3015],[999,3098],[999,3182],[999,3265],[999,3349],[999,3432],[999,3514],[999,3599],[999,3682],[999,3765],[999,3848],[999,3931],[999,4014],[999,4099],[999,4182],[999,4265],[999,4349],[999,4432],[999,4515],[999,4599],[999,4682],[999,4765],[999,4849],[999,4932],[999,5015],[999,5099],[999,5182],[999,5265],[999,5349],[999,5432],[999,5515],[999,5599],[999,5682],[999,5765],[999,5849],[999,5932],[999,6015],[999,6099],[999,6182],[999,6265],[999,6348],[999,6431],[999,6515],[999,6599],[999,6681],[999,6764],[999,6848],[999,6931],[999,7014],[999,7099],[36.9,7182],[44.5,7265],[57,7432],[59.7,7515],[59.7,7599],[59.7,7682],[59.7,7765],[59.7,7849],[59.7,7931],[63.3,8015],[70.8,8099],[76.6,8182],[78.5,8265],[79.5,8348],[81.5,8432],[82.5,8515],[82.6,8599],[82.6,8682],[82.6,8765],[82.6,8849],[82.6,8932],[82.6,9015],[82.6,9099],[82.6,9182],[82.6,9265],[82.6,9349],[82.6,9432],[82.6,9515],[82.6,9598],[82.6,9682],[82.6,9765],[82.6,9848],[82.6,9932],[82.6,10016],[82.6,10099],[82.6,10182],[82.6,10265],[82.6,10349],[82.6,10432],[82.6,10515],[82.6,10598],[82.6,10681],[82.6,10765],[82.6,10849],[82.6,10931],[82.6,11014],[82.6,11099],[82.6,11182],[82.6,11265],[86.2,11349]]",131.8611,141.6604,70.83424708,7.0156,"[{""rating"":70.83424707602339,""responseTime"":7.015600000023824}]",space,9.2634,,141.6608,Not at all,0,141.6655,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
