consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
0.0004,46.0311,y,45.6976,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,46.0318,64.7182,space,18.6182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,64.7186,119.2606,space,54.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,119.2747,141.961,space,22.6523,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,141.9623,181.5899,space,39.4719,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,181.5911,228.6257,space,46.9425,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,228.6265,312.7364,space,84.0684,,[-0.22108345534407028],[0.6276041666666666],[1],[0],[0],[52.29639999985696],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,312.7377,339.748,space,26.9776,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,339.7486,368.4972,space,28.7175,,[],[],[],[],[],[],5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67d0c73d781bc022a088d11f,2025-07-07_22h57.37.173,group3.4_multiperson,2023.2.2,Win32,50,686c2ebf0248f13bef9af11f,686c88e200ffacb8a2dd2faa,,,,,,,,,,,,,,,,,,,,,,,,,,,368.5025,371.0723,371.1325,1,audio/Narrative13Situation2.wav,373.1488,,373.1493,402.9231,"[[999,2],[999,198],[999,279],[999,357],[999,437],[999,517],[999,597],[999,677],[999,757],[999,837],[999,917],[999,997],[999,1076],[999,1156],[999,1236],[999,1316],[999,1396],[999,1476],[999,1556],[999,1636],[999,1715],[999,1795],[999,1875],[999,1956],[999,2035],[999,2115],[999,2194],[999,2275],[999,2354],[999,2434],[999,2514],[999,2594],[999,2674],[999,2754],[999,2834],[999,2913],[999,2993],[999,3073],[999,3153],[999,3233],[999,3312],[999,3392],[999,3472],[999,3552],[999,3632],[999,3712],[999,3792],[999,3871],[999,3951],[999,4031],[999,4111],[999,4191],[999,4271],[999,4350],[999,4430],[999,4510],[999,4590],[999,4670],[999,4750],[999,4830],[999,4910],[999,4990],[999,5069],[999,5149],[999,5229],[999,5309],[999,5389],[999,5469],[999,5548],[999,5628],[999,5708],[999,5788],[999,5868],[999,5948],[999,6028],[999,6107],[999,6187],[999,6267],[999,6347],[999,6432],[999,6513],[999,6594],[999,6673],[999,6746],[999,6826],[999,6912],[999,6993],[999,7072],[999,7152],[999,7226],[999,7312],[999,7391],[999,7472],[999,7551],[999,7632],[999,7712],[999,7791],[999,7865],[999,7951],[999,8030],[999,8111],[999,8184],[999,8264],[999,8350],[999,8430],[999,8510],[999,8590],[999,8663],[999,8743],[999,8829],[999,8909],[999,8989],[999,9069],[999,9149],[999,9228],[999,9308],[999,9389],[999,9467],[999,9542],[999,9628],[999,9701],[999,9781],[999,9867],[999,9947],[999,10027],[999,10107],[999,10188],[999,10267],[999,10346],[999,10438],[999,10506],[999,10586],[999,10667],[999,10746],[999,10826],[999,10906],[999,10985],[999,11065],[999,11146],[999,11225],[999,11305],[999,11384],[999,11465],[999,11545],[999,11624],[999,11704],[999,11785],[999,11864],[999,11944],[999,12024],[999,12103],[999,12183],[999,12264],[999,12343],[999,12422],[999,12503],[999,12582],[999,12663],[999,12742],[999,12822],[999,12903],[999,12982],[999,13062],[999,13142],[999,13221],[999,13301],[999,13382],[999,13461],[999,13540],[999,13621],[999,13701],[999,13780],[999,13861],[999,13940],[999,14020],[999,14101],[999,14180],[999,14259],[999,14340],[999,14420],[999,14500],[999,14579],[999,14659],[999,14739],[999,14819],[999,14899],[999,14979],[999,15058],[999,15138],[999,15218],[999,15298],[999,15378],[999,15457],[999,15538],[999,15617],[999,15698],[999,15777],[999,15857],[999,15937],[999,16016],[999,16096],[999,16177],[999,16257],[999,16337],[999,16416],[999,16496],[999,16576],[999,16655],[999,16735],[999,16816],[999,16895],[999,16975],[999,17056],[999,17134],[999,17214],[999,17295],[999,17374],[999,17454],[999,17534],[999,17613],[999,17694],[999,17773],[999,17853],[999,17934],[999,18013],[999,18092],[999,18173],[999,18252],[999,18332],[999,18412],[999,18492],[999,18572],[999,18652],[999,18732],[999,18812],[999,18891],[999,18971],[999,19052],[999,19131],[999,19211],[999,19291],[999,19370],[999,19451],[999,19530],[999,19610],[999,19691],[999,19770],[999,19850],[999,19930],[999,20009],[999,20089],[999,20170],[999,20249],[999,20329],[999,20410],[999,20489],[999,20568],[999,20649],[999,20728],[999,20809],[999,20888],[999,20967],[999,21048],[999,21127],[999,21207],[999,21288],[999,21367],[999,21446],[999,21527],[999,21606],[999,21687],[999,21766],[999,21846],[999,21927],[999,22006],[999,22086],[999,22165],[999,22246],[999,22326],[999,22406],[999,22485],[999,22566],[999,22645],[999,22724],[999,22806],[999,22884],[999,22965],[999,23044],[999,23124],[999,23204],[999,23284],[999,23363],[999,23443],[999,23523],[999,23603],[999,23683],[999,23762],[999,23843],[999,23922],[999,24002],[999,24083],[999,24162],[999,24242],[999,24322],[999,24402],[999,24480],[999,24562],[999,24641],[999,24721],[999,24801],[999,24881],[999,24961],[999,25040],[999,25121],[999,25200],[999,25280],[999,25360],[999,25439],[999,25520],[999,25599],[999,25679],[999,25760],[999,25839],[999,25919],[999,26000],[999,26078],[999,26159],[999,26238],[999,26318],[999,26399],[999,26478],[999,26558],[999,26638],[999,26717],[999,26797],[999,26878],[999,26957],[999,27037],[999,27117],[999,27196],[999,27277],[999,27357],[999,27435],[999,27517],[999,27596],[999,27676],[999,27756],[999,27836],[999,27915],[999,27996],[999,28075],[999,28155],[999,28235],[999,28315],[999,28395],[999,28474],[999,28555],[999,28635],[999,28714],[999,28794],[999,28874],[999,28954],[999,29033],[999,29113],[999,29194],[999,29273],[999,29352],[999,29433],[999,29512],[999,29593],[999,29673],[999,29752]]",402.9237,448.7946,79.72181552,31.9087,"[{""rating"":79.72181551976574,""responseTime"":31.908700000047702}]",space,45.3196,,448.7951,Not at all,0,448.8072,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
