ID,time,rating
sub-001,0.0,
sub-003,0.0,
sub-012,0.0,
sub-016,0.0,
sub-021,0.0,50.9
sub-025,0.0,
sub-026,0.0,
sub-027,0.0,
sub-028,0.0,
sub-029,0.0,
sub-030,0.0,
sub-031,0.0,
sub-033,0.0,
sub-039,0.0,
sub-042,0.0,
sub-044,0.0,
sub-048,0.0,
sub-049,0.0,
sub-056,0.0,
sub-058,0.0,
sub-062,0.0,
sub-064,0.0,
sub-069,0.0,
sub-074,0.0,
sub-076,0.0,
sub-078,0.0,
sub-082,0.0,
sub-085,0.0,
sub-089,0.0,
sub-091,0.0,
sub-092,0.0,
sub-094,0.0,
sub-097,0.0,
sub-100,0.0,
sub-103,0.0,
sub-104,0.0,
sub-108,0.0,
sub-113,0.0,
sub-114,0.0,
sub-115,0.0,
sub-117,0.0,
sub-118,0.0,
sub-126,0.0,100.0
sub-127,0.0,
sub-129,0.0,
sub-131,0.0,
sub-139,0.0,
sub-140,0.0,
sub-146,0.0,
sub-147,0.0,
sub-149,0.0,
sub-152,0.0,
sub-153,0.0,
sub-157,0.0,
sub-159,0.0,
sub-173,0.0,
sub-174,0.0,
sub-175,0.0,
sub-177,0.0,
sub-178,0.0,
sub-179,0.0,
sub-180,0.0,
sub-186,0.0,
sub-187,0.0,
sub-195,0.0,
sub-199,0.0,
sub-201,0.0,
sub-202,0.0,
sub-205,0.0,
sub-208,0.0,
sub-209,0.0,
sub-210,0.0,
sub-212,0.0,
sub-215,0.0,
sub-217,0.0,
sub-219,0.0,
sub-220,0.0,
sub-222,0.0,
sub-224,0.0,
sub-230,0.0,
sub-231,0.0,
sub-001,0.23,
sub-003,0.23,
sub-012,0.23,
sub-016,0.23,
sub-021,0.23,50.8
sub-025,0.23,
sub-026,0.23,
sub-027,0.23,
sub-028,0.23,
sub-029,0.23,
sub-030,0.23,
sub-031,0.23,
sub-033,0.23,
sub-039,0.23,
sub-042,0.23,
sub-044,0.23,
sub-048,0.23,
sub-049,0.23,
sub-056,0.23,
sub-058,0.23,
sub-062,0.23,
sub-064,0.23,
sub-069,0.23,
sub-074,0.23,
sub-076,0.23,
sub-078,0.23,
sub-082,0.23,
sub-085,0.23,
sub-089,0.23,
sub-091,0.23,
sub-092,0.23,
sub-094,0.23,
sub-097,0.23,
sub-100,0.23,
sub-103,0.23,77.1
sub-104,0.23,
sub-108,0.23,49.6
sub-113,0.23,
sub-114,0.23,
sub-115,0.23,
sub-117,0.23,
sub-118,0.23,
sub-126,0.23,100.0
sub-127,0.23,
sub-129,0.23,
sub-131,0.23,
sub-139,0.23,
sub-140,0.23,
sub-146,0.23,
sub-147,0.23,
sub-149,0.23,
sub-152,0.23,
sub-153,0.23,
sub-157,0.23,
sub-159,0.23,
sub-173,0.23,
sub-174,0.23,95.3
sub-175,0.23,
sub-177,0.23,
sub-178,0.23,
sub-179,0.23,
sub-180,0.23,
sub-186,0.23,
sub-187,0.23,
sub-195,0.23,
sub-199,0.23,
sub-201,0.23,
sub-202,0.23,
sub-205,0.23,
sub-208,0.23,
sub-209,0.23,
sub-210,0.23,
sub-212,0.23,
sub-215,0.23,
sub-217,0.23,
sub-219,0.23,
sub-220,0.23,
sub-222,0.23,
sub-224,0.23,
sub-230,0.23,
sub-231,0.23,
sub-001,0.46,
sub-003,0.46,
sub-012,0.46,
sub-016,0.46,
sub-021,0.46,50.8
sub-025,0.46,
sub-026,0.46,
sub-027,0.46,
sub-028,0.46,
sub-029,0.46,
sub-030,0.46,
sub-031,0.46,
sub-033,0.46,
sub-039,0.46,
sub-042,0.46,
sub-044,0.46,
sub-048,0.46,
sub-049,0.46,
sub-056,0.46,
sub-058,0.46,
sub-062,0.46,
sub-064,0.46,
sub-069,0.46,
sub-074,0.46,
sub-076,0.46,
sub-078,0.46,
sub-082,0.46,
sub-085,0.46,
sub-089,0.46,
sub-091,0.46,
sub-092,0.46,
sub-094,0.46,
sub-097,0.46,
sub-100,0.46,100.0
sub-103,0.46,74.36428571428571
sub-104,0.46,
sub-108,0.46,49.6
sub-113,0.46,
sub-114,0.46,
sub-115,0.46,
sub-117,0.46,
sub-118,0.46,
sub-126,0.46,100.0
sub-127,0.46,
sub-129,0.46,
sub-131,0.46,
sub-139,0.46,
sub-140,0.46,
sub-146,0.46,
sub-147,0.46,
sub-149,0.46,
sub-152,0.46,
sub-153,0.46,
sub-157,0.46,65.47619047619048
sub-159,0.46,
sub-173,0.46,
sub-174,0.46,87.58970588235294
sub-175,0.46,
sub-177,0.46,
sub-178,0.46,
sub-179,0.46,
sub-180,0.46,76.4
sub-186,0.46,
sub-187,0.46,
sub-195,0.46,
sub-199,0.46,
sub-201,0.46,
sub-202,0.46,
sub-205,0.46,
sub-208,0.46,
sub-209,0.46,
sub-210,0.46,
sub-212,0.46,
sub-215,0.46,
sub-217,0.46,
sub-219,0.46,
sub-220,0.46,
sub-222,0.46,
sub-224,0.46,
sub-230,0.46,
sub-231,0.46,
sub-001,0.69,
sub-003,0.69,
sub-012,0.69,50.5
sub-016,0.69,
sub-021,0.69,50.8
sub-025,0.69,
sub-026,0.69,
sub-027,0.69,
sub-028,0.69,1.4
sub-029,0.69,
sub-030,0.69,
sub-031,0.69,
sub-033,0.69,
sub-039,0.69,
sub-042,0.69,
sub-044,0.69,
sub-048,0.69,
sub-049,0.69,
sub-056,0.69,
sub-058,0.69,
sub-062,0.69,
sub-064,0.69,
sub-069,0.69,
sub-074,0.69,
sub-076,0.69,
sub-078,0.69,
sub-082,0.69,
sub-085,0.69,
sub-089,0.69,
sub-091,0.69,
sub-092,0.69,
sub-094,0.69,
sub-097,0.69,
sub-100,0.69,93.9
sub-103,0.69,73.63493975903614
sub-104,0.69,49.7
sub-108,0.69,49.6
sub-113,0.69,
sub-114,0.69,
sub-115,0.69,
sub-117,0.69,
sub-118,0.69,
sub-126,0.69,100.0
sub-127,0.69,
sub-129,0.69,
sub-131,0.69,
sub-139,0.69,
sub-140,0.69,
sub-146,0.69,
sub-147,0.69,
sub-149,0.69,
sub-152,0.69,
sub-153,0.69,75.5
sub-157,0.69,65.0
sub-159,0.69,
sub-173,0.69,
sub-174,0.69,79.30294117647058
sub-175,0.69,
sub-177,0.69,
sub-178,0.69,
sub-179,0.69,
sub-180,0.69,76.85234375
sub-186,0.69,
sub-187,0.69,
sub-195,0.69,
sub-199,0.69,
sub-201,0.69,
sub-202,0.69,
sub-205,0.69,
sub-208,0.69,
sub-209,0.69,49.6
sub-210,0.69,92.9
sub-212,0.69,
sub-215,0.69,11.8
sub-217,0.69,
sub-219,0.69,
sub-220,0.69,50.8
sub-222,0.69,
sub-224,0.69,
sub-230,0.69,
sub-231,0.69,
sub-001,0.92,
sub-003,0.92,
sub-012,0.92,50.5
sub-016,0.92,
sub-021,0.92,42.953
sub-025,0.92,
sub-026,0.92,
sub-027,0.92,
sub-028,0.92,1.9534883720930232
sub-029,0.92,
sub-030,0.92,100.0
sub-031,0.92,
sub-033,0.92,99.7
sub-039,0.92,
sub-042,0.92,
sub-044,0.92,
sub-048,0.92,
sub-049,0.92,
sub-056,0.92,
sub-058,0.92,
sub-062,0.92,
sub-064,0.92,
sub-069,0.92,98.1
sub-074,0.92,
sub-076,0.92,
sub-078,0.92,49.4
sub-082,0.92,
sub-085,0.92,
sub-089,0.92,
sub-091,0.92,
sub-092,0.92,57.2
sub-094,0.92,
sub-097,0.92,
sub-100,0.92,93.9
sub-103,0.92,64.14545454545456
sub-104,0.92,50.2
sub-108,0.92,49.6
sub-113,0.92,
sub-114,0.92,84.9
sub-115,0.92,26.357831325301206
sub-117,0.92,
sub-118,0.92,
sub-126,0.92,100.0
sub-127,0.92,
sub-129,0.92,52.5
sub-131,0.92,
sub-139,0.92,
sub-140,0.92,67.35238095238095
sub-146,0.92,
sub-147,0.92,
sub-149,0.92,
sub-152,0.92,
sub-153,0.92,76.2
sub-157,0.92,77.5484
sub-159,0.92,64.45833333333333
sub-173,0.92,
sub-174,0.92,71.01617647058823
sub-175,0.92,
sub-177,0.92,
sub-178,0.92,
sub-179,0.92,88.2
sub-180,0.92,81.86721311475411
sub-186,0.92,
sub-187,0.92,
sub-195,0.92,
sub-199,0.92,
sub-201,0.92,
sub-202,0.92,45.6
sub-205,0.92,
sub-208,0.92,
sub-209,0.92,50.18208955223881
sub-210,0.92,85.87530864197531
sub-212,0.92,
sub-215,0.92,5.287903225806453
sub-217,0.92,51.387499999999996
sub-219,0.92,
sub-220,0.92,50.6
sub-222,0.92,
sub-224,0.92,
sub-230,0.92,
sub-231,0.92,
sub-001,1.15,
sub-003,1.15,
sub-012,1.15,50.30099502487562
sub-016,1.15,
sub-021,1.15,43.012
sub-025,1.15,
sub-026,1.15,
sub-027,1.15,
sub-028,1.15,2.488372093023256
sub-029,1.15,
sub-030,1.15,73.71927710843373
sub-031,1.15,
sub-033,1.15,93.38795180722892
sub-039,1.15,
sub-042,1.15,
sub-044,1.15,
sub-048,1.15,92.9
sub-049,1.15,
sub-056,1.15,
sub-058,1.15,
sub-062,1.15,
sub-064,1.15,
sub-069,1.15,97.4
sub-074,1.15,
sub-076,1.15,
sub-078,1.15,51.0
sub-082,1.15,59.8
sub-085,1.15,
sub-089,1.15,78.6
sub-091,1.15,
sub-092,1.15,57.2
sub-094,1.15,
sub-097,1.15,
sub-100,1.15,93.9
sub-103,1.15,59.61176470588235
