exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
social,1E-04,5.3729,y,5.0547,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,5.373,8.3812,space,2.9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,8.3813,16.7003,space,8.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,16.7023,29.7561,space,13.0432,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,29.7564,54.0141,space,24.2009,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,54.0144,66.2891,space,12.254,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,66.2936,81.9639,space,15.6575,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,81.9684,90.8389,space,8.861,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8441,93.4222,93.4315,95.4389,,95.439,125.1724,"[[999,0],[999,116],[999,216],[999,316],[999,416],[47.1,516],[47.5,617],[48.4,716],[48.4,816],[48.4,916],[48.4,1016],[49.1,1116],[49.1,1216],[49.1,1316],[49.1,1416],[49.1,1516],[49.1,1616],[49.1,1716],[45.7,1816],[42.4,1916],[39.7,2016],[36,2116],[31,2216],[30.5,2316],[30.5,2416],[30.5,2516],[30.5,2616],[30.5,2724],[30.5,2824],[30.5,2924],[30.5,3024],[30.5,3124],[30.5,3224],[30.4,3324],[29.8,3424],[28.3,3524],[21.8,3624],[21.8,3724],[21.9,3824],[22.5,3924],[24.1,4024],[24.1,4124],[24.5,4224],[25.2,4324],[38.1,4424],[38.1,4524],[38.2,4624],[41.3,4724],[43.9,4824],[47.7,4924],[49.5,5024],[49.5,5124],[49.5,5224],[49.5,5324],[49.8,5424],[50.5,5524],[50.6,5624],[50.6,5732],[50.6,5833],[50.6,5933],[51.1,6033],[51.2,6132],[51.6,6232],[52,6333],[52.1,6432],[52.2,6533],[52.2,6633],[52.2,6741],[52.2,6841],[52.2,6941],[52.2,7041],[52.2,7141],[52.2,7241],[52.2,7341],[52.2,7441],[52.2,7541],[52.2,7641],[52.2,7741],[52.2,7841],[52.2,7941],[52.8,8041],[63.3,8141],[67.1,8241],[70.9,8341],[76,8441],[85.5,8541],[92.3,8641],[91.8,8741],[91.5,8841],[91.5,8941],[94.5,9041],[94.8,9141],[94.8,9241],[95,9341],[95,9441],[95,9541],[95,9641],[95,9741],[95,9841],[95,9941],[95,10041],[94.7,10141],[94.6,10241],[94.6,10341],[94.6,10441],[94.8,10541],[94.8,10641],[94.8,10741],[93.6,10841],[92.3,10941],[92,11041],[92,11141],[91.6,11241],[91.4,11341],[91.4,11441],[91.4,11541],[91.4,11641],[91.4,11749],[91.4,11849],[91.4,11949],[91.4,12049],[91.4,12149],[91.4,12249],[91.4,12349],[91.4,12449],[91.4,12549],[91.4,12649],[91.4,12749],[91.1,12849],[91,12949],[91,13049],[91,13149],[91,13249],[91,13349],[92.4,13449],[92.7,13549],[92.7,13649],[94.3,13758],[96.4,13857],[99.7,13958],[99.8,14057],[99.8,14158],[99.6,14257],[99.6,14357],[99.6,14457],[99.6,14557],[99.2,14658],[98.6,14758],[98.4,14857],[98.4,14957],[98.4,15057],[97,15158],[90.7,15257],[87.7,15357],[81.2,15458],[67.8,15557],[64.3,15657],[59.5,15759],[59.1,15857],[58.1,15957],[56.2,16058],[53.8,16158],[52,16257],[52,16357],[51.7,16458],[49.3,16558],[48.8,16658],[44,16757],[42.7,16866],[42.6,16966],[41.5,17066],[39.5,17166],[38.2,17266],[37.6,17366],[36.8,17466],[36.8,17566],[36.6,17666],[36.2,17766],[35.4,17866],[35,17966],[35,18066],[35,18166],[34.9,18266],[34.9,18366],[34.9,18466],[34.9,18566],[34.9,18666],[34.9,18766],[34.9,18866],[35.4,18966],[35.4,19066],[35.4,19166],[35.4,19266],[35.6,19366],[35.6,19466],[35.6,19566],[35.6,19666],[35.6,19766],[37,19874],[37,19974],[37,20074],[37,20174],[37,20274],[34.8,20374],[32.7,20474],[31.4,20574],[29.4,20674],[28,20774],[28,20874],[27.3,20974],[31.2,21074],[33.9,21174],[33.9,21274],[33.9,21374],[34.8,21474],[51.4,21574],[58.4,21674],[58.4,21774],[58.4,21874],[60.6,21974],[62.5,22074],[63,22174],[63,22274],[63.5,22374],[66,22474],[66.6,22574],[66.6,22674],[66.6,22774],[66.6,22874],[66.6,22974],[66.6,23074],[66.6,23174],[67,23274],[67,23374],[67,23474],[67,23574],[67,23674],[67,23774],[67,23882],[67,23982],[67,24082],[67,24182],[66.1,24283],[65.4,24383],[61.5,24482],[61,24583],[60.7,24682],[59.4,24782],[58.7,24891],[58.4,24991],[58.3,25091],[56.6,25191],[56.5,25291],[56.5,25391],[56.3,25491],[54.5,25591],[52.7,25691],[52,25791],[51.6,25891],[50.9,25991],[50.5,26091],[50.5,26191],[50.4,26291],[51.2,27691],[50.2,27791],[42.5,27892],[39.2,27999],[39.2,28099],[39.2,28199],[39.2,28299],[39.3,28399],[39.3,28499],[39.3,28599],[39.3,28699],[39.5,28799],[39.5,28899],[39.5,28999],[39.5,29099],[39.5,29199],[39.5,29299],[39.5,29399],[39.5,29499],[39.9,29599],[40.2,29699]]",1,0,125.1725,133.1638,71.328125,3.962,"[{""rating"":71.328125,""responseTime"":3.9620000000000175}]",space,7.4718,,133.1679,Definitely yes,100,133.1698,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5afa19a4f856320001cf920f,2024-02-06_10h41.47.356,group3.1-3.2-social-tom,2023.2.2,Win32,119.047619,65b1b24e3a500fd6b5dc9abd,65c2532d89d54ddc0523b5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1699,135.7719,space,135.7719,191.6415,"[[999,0],[999,103],[999,199],[999,303],[999,403],[999,503],[999,602],[51.7,702],[51.7,800],[50.2,902],[49.8,999],[49.8,1099],[49.7,1199],[49.7,1299],[49.7,1399],[49.7,1499],[49.7,1601],[49.8,1702],[49.8,1799],[49.8,1899],[49.8,1999],[49.8,2102],[49.8,2199],[49.8,2299],[49.8,2399],[49.8,2503],[48.8,2603],[48.8,2715],[48.8,2808],[45.2,2912],[43.4,3008],[43.4,3108],[43.4,3212],[43.4,3312],[43.4,3408],[43.4,3508],[43.4,3612],[43.9,3720],[44.8,3816],[44.8,3916],[45.5,4020],[47,4120],[47.8,4220],[48,4316],[48.3,4416],[48.4,4516],[48.9,4620],[49.5,4728],[49.5,4824],[49.5,4924],[49.5,5024],[49.5,5127],[49.5,5224],[49.5,5324],[49.5,5424],[49.5,5528],[49.5,5624],[49.5,5728],[49.5,5824],[49.5,5928],[48.4,6028],[46,6128],[44.7,6228],[43.2,6327],[42.8,6435],[42.5,6533],[42,6635],[41.5,6736],[40.9,6833],[40.6,6933],[40.6,7033],[40.6,7133],[40.6,7233],[42.3,7333],[44.4,7433],[44.5,7533],[45.7,7633],[50.6,7737],[51.6,7833],[58.8,7933],[63,8033],[65.5,8133],[66.6,8233],[67,8333],[70.5,8433],[70.7,8533],[70.7,8633],[70.7,8737],[70.7,8841],[70.7,8941],[72.2,9041],[72.7,9141],[72.7,9241],[72.7,9341],[72.7,9441],[72.7,9541],[72.7,9641],[73.1,9742],[73.3,9841],[73.3,9941],[73.3,10041],[73.3,10141],[73.9,10241],[74,10341],[74,10441],[74,10541],[74,10641],[74,10742],[74.1,10849],[74.5,10949],[74.5,11049],[74.5,11149],[74.5,11249],[74.5,11349],[74.5,11449],[74.5,11549],[74.5,11649],[74.5,11749],[74.5,11849],[74.5,11949],[74.5,12049],[74.7,12149],[75.2,12249],[76.1,12349],[76.5,12449],[76.6,12549],[76.6,12649],[76.6,12749],[76.6,12858],[76.6,12958],[76.6,13058],[76.6,13158],[76.8,13258],[77.4,13358],[77.7,13458],[78.9,13558],[78.9,13658],[78.9,13758],[78.9,13866],[79,13966],[79,14066],[79,14166],[79,14266],[79.1,14366],[79.1,14466],[79.1,14566],[79.1,14666],[79.1,14766],[79.1,14866],[79.1,14966],[79.1,15066],[79.1,15166],[79.1,15266],[79.1,15366],[82.2,15466],[86.6,15566],[86.6,15666],[87.3,15766],[88.2,15874],[88.2,15974],[88.2,16074],[88.2,16174],[88.1,16274],[88,16374],[88,16474],[87.7,16574],[83.4,16674],[74.1,16774],[68.1,16874],[62.4,16974],[58.6,17074],[57,17174],[55.9,17274],[54.3,17374],[53.9,17474],[52.9,17574],[52.3,17674],[52,17774],[51.5,17883],[51.4,17983],[51.2,18083],[50.9,18183],[50.8,18283],[50.5,18383],[50.5,18483],[50.5,18583],[50.5,18683],[50.5,18783],[50.5,18895],[50.5,18995],[50.5,19094],[50.5,19194],[50.5,19295],[51.4,19395],[54.3,19494],[57.3,19595],[58.1,19694],[58.1,19794],[59.1,19895],[58.9,19995],[54.2,20095],[46.4,20194],[46.4,20294],[46.1,20394],[45.6,20494],[45.2,20594],[45.2,20694],[45.2,20794],[45.2,20894],[45.2,20994],[45.2,21095],[46.5,21194],[49.3,21295],[49.5,21395],[49.5,21494],[51.5,21594],[56.4,21694],[56.5,21794],[56.5,21903],[56,22003],[55,22103],[54.2,22203],[53.3,22303],[52.8,22403],[52.3,22503],[51.3,22603],[50.8,22703],[50.3,22803],[49,22911],[48,23011],[47,23111],[46,23211],[45.9,23311],[45.8,23411],[46,23511],[46.7,23611],[47.1,23711],[47.6,23811],[48.2,23919],[48.7,24019],[48.7,24119],[48.2,24219],[47.2,24319],[46.9,24419],[46.5,24519],[46,24619],[45.6,24719],[45.1,24819],[44.8,24937],[44.6,25033],[44.5,25133],[44.2,25233],[44.1,25333],[44,25433],[44,25533],[44,25637],[43.9,25733],[43.8,25837],[43.8,25933],[43.8,26033],[43.7,26133],[43.7,26233],[43.5,26333],[43.5,26432],[43.2,26533],[42.7,26633],[41.6,26737],[41.6,26833],[41.5,26932],[41.5,27033],[40.6,27137],[39.9,27233],[39.6,27333],[39.5,27433],[39.1,27533],[38.4,27637],[38,27737],[38,27833],[37.8,27943],[37.7,28045],[37.6,28145],[37.3,28241],[36.8,28341],[36.7,28441],[36.7,28541],[36.7,28645],[37.2,28741],[38.4,28845],[39.3,28953],[48.4,29053],[56,29153],[56.1,29249],[56.1,29349],[56.7,29454],[56.9,29553],[56.9,29658],[57,29758],[57.4,29858],[58.6,29958],[60.9,30057],[60.9,30158],[60.9,30258],[60.9,30358],[60.9,30458],[60.9,30557],[60.9,30658],[60.8,30758],[60.8,30858],[60.8,30961],[60.8,31057],[60.8,31158],[60.8,31258],[60.8,31358],[60.4,31462],[59.6,31557],[59.6,31658],[59.6,31758],[65.8,31861],[66.8,31958],[67.6,32062],[72.1,32162],[72.1,32257],[72.1,32358],[72.1,32458],[72.1,32557],[72.1,32658],[72.1,32761],[72.1,32858],[72.1,32961],[72.1,33057],[72.1,33158],[72.1,33258],[72.1,33358],[72.1,33458],[72.1,33557],[72.1,33658],[72.1,33758],[72.1,33858],[72.1,33960],[72.1,34057],[72.1,34158],[71.1,34258],[71.1,34358],[71.1,34457],[71.1,34557],[71.1,34658],[71.3,34761],[71.8,34861],[72.4,34962],[73.2,35062],[74.8,35161],[75,35262],[75.5,35361],[76.6,35462],[77.5,35560],[79.6,35660],[81.3,35760],[88,35860],[88,35958],[92.6,36060],[97.7,36160],[98,36257],[98.1,36358],[98.1,36458],[98.1,36557],[98.1,36658],[97.5,36760],[96.9,36858],[96.8,36958],[96.8,37057],[97.3,37160],[97.6,37258],[97.6,37361],[97.6,37457],[97.6,37561],[97.5,37661],[97.4,37757],[97.4,37862],[97.4,37957],[97.4,38057],[97.4,38161],[97.4,38257],[97.4,38357],[97.4,38457],[97.4,38557],[97.4,38658],[97.4,38757],[97.4,38858],[97.4,38957],[97.4,39066],[97.4,39166],[97.4,39266],[97.4,39366],[97.4,39466],[97.4,39566],[97.3,39666],[97,39770],[96.8,39866],[96.7,39968],[96.6,40066],[96.5,40170],[96.5,40266],[96.4,40370],[96.4,40466],[96.4,40566],[96.4,40666],[96.3,40770],[96,40870],[96,40966],[97.7,41078],[99,41174],[99.5,41278],[99.8,41374],[100,41478],[100,41574],[100,41678],[100,41774],[100,41877],[100,41974],[100,42082],[100,42182],[100,42282],[100,42387],[100,42482],[100,42586],[100,42686],[100,42782],[100,42882],[100,42982],[100,43086],[100,43182],[100,43282],[100,43383],[100,43483],[100,43587],[100,43682],[100,43782],[100,43882],[100,43982],[100,44091],[100,44191],[100,44293],[100,44391],[100,44491],[100,44591],[100,44691],[100,44791],[100,44891],[100,44995],[100,45091],[100,45195],[100,45291],[100,45391],[100,45491],[100,45591],[100,45695],[100,45791],[100,45891],[100,45991],[100,46091],[100,46195],[100,46291],[100,46391],[100,46495],[100,46591],[100,46695],[99.4,46791],[99,46891],[98.6,46991],[97.6,47091],[95.5,47191],[95.3,47291],[95,47391],[93.8,47491],[90.6,47591],[87,47691],[85.5,47791],[85.5,47891],[85.1,47991],[83,48095],[82.9,48199],[82.6,48299],[82.6,48399],[83.6,48499],[84.1,48599],[84.8,48699],[86.1,48799],[86.3,48899],[90.2,48999],[91.3,49101],[91.3,49199],[91.3,49299],[93,49399],[93.2,49499],[94.2,49599],[94.2,49699],[94.5,49799],[95.4,49899],[95.7,49999],[95.7,50099],[95.7,50212],[96.1,50311],[96.5,50411],[96.8,50511],[96.8,50611],[96.8,50711],[96.8,50811],[96.8,50911],[96.8,51011],[96.8,51112],[96.8,51211],[96.8,51311],[96.8,51411],[96.8,51511],[96.8,51611],[96.8,51711],[96.8,51811],[96.8,51911],[96.8,52011],[97.1,52121],[99.7,52219],[99.8,52319],[99.8,52419],[99.8,52519],[100,52619],[100,52719],[100,52819],[100,52919],[100,53019],[100,53120],[100,53219],[100,53319],[100,53419],[100,53519],[100,53619],[100,53719],[100,53819],[100,53919],[100,54019],[100,54123],[100,54219],[100,54319],[100,54419],[100,54519],[99.8,54619],[99.1,54719],[97.6,54819],[97.1,54919],[97.1,55019],[97.1,55122],[97.1,55227],[96.4,55328],[95.9,55428],[95.9,55527],[95.9,55627],[95.9,55727],[95.9,55827]]",1,0,191.6417,194.8584,91.328125,1.9665,"[{""rating"":91.328125,""responseTime"":1.9664999999999964}]",space,2.6921,,194.8584,Partially,50,203.1498,50.3125,5.1995,"[{""rating"":50.31250000000001,""responseTime"":5.1995000000000005}]",space,0,1,1,1,1,audio/Narrative7Situation1.wav,audio/Narrative8Situation1.wav,audio/Narrative5Situation1.wav,audio/Narrative6Situation1.wav,2,5,5,2,2.5884,,7.7665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
