exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
tom,0.0003,6.5387,y,5.8996,0.0003,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,6.5389,11.1121,space,4.4075,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,11.1123,19.4057,space,7.7653,1E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,19.41,25.5466,space,5.9711,0.0002,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,25.547,38.0103,space,12.2073,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,38.0105,44.3024,space,6.0886,1E-04,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,44.3027,62.4384,space,17.9433,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,62.4476,66.4682,space,3.8431,1E-04,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4701,69.0369,69.0616,1,audio/Narrative13Situation2.wav,71.0823,,71.0825,101.255,"[[56.3,9875],[55.3,11130],[52.1,11312],[50.1,11497],[50.1,11674],[50.1,11855],[50.1,12026],[50.1,12199],[51.6,12373],[53.3,12554],[53.3,12726],[53.3,12899],[53.3,13073],[53.3,13246],[53.3,13420],[53.3,13597],[53.3,13771],[53.3,13943],[53.3,14120],[53.3,14297],[53.3,14474],[53.3,14645],[53.3,14819],[53.3,14994],[53.3,15166],[53.3,15340],[53.3,15513],[53.3,15687],[53.3,15860],[53.3,16032],[53.3,16205],[53.3,16380],[53.3,16554],[53.3,16730],[53.3,16901],[53.3,17074],[53.3,17246],[53.3,17419],[53.3,17595],[53.3,17771],[53.3,17948],[53.3,18125],[53.3,18300],[53.3,18474],[53.3,18648],[53.3,18817],[53.3,18989],[53.3,19163],[51.8,19338],[8.6,19527],[8.6,19700],[2.2,19878],[1.2,20054],[1.2,20228],[1.2,20408],[1.2,20580],[1.2,20762],[25,20940],[49.7,21124],[49.7,21297],[49.7,21471],[49.7,21644],[49.7,21816],[49.7,21991],[49.7,22161],[49.7,22333],[49.7,22509],[49.7,22684],[49.7,22859],[49.7,23030],[49.7,23202],[49.7,23380],[49.7,23553],[49.7,23726],[49.7,23900],[49.7,24073],[49.7,24244],[49.7,24416],[49.7,24592],[49.7,24766],[49.7,24942],[49.7,25114],[49.7,25288],[49.7,25461],[49.7,25634],[49.7,25813],[49.7,25984],[49.7,26154],[49.7,26324],[49.7,26501],[49.7,26675],[49.7,26849],[49.7,27025],[49.7,27197],[49.7,27370],[49.7,27541],[49.7,27714],[49.7,27887],[49.7,28058],[49.7,28230],[49.7,28404],[49.7,28575],[49.7,28748],[49.7,28920],[49.7,29096],[49.7,29272],[49.7,29446],[50.7,29618],[76.3,29808],[79,29992],[76.3,30171]]",1,0,101.2552,105.2693,75.82545689,1.8621,"[{""rating"":75.73179699125744,""responseTime"":0.5652999999821162},{""rating"":75.82545689174107,""responseTime"":1.8620999999940295}]",space,3.1235,,105.2695,Not at all,0,105.2726,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5fe10efce036673268e98633,2024-05-13_11h49.57.403,group3.1-3.2-social-tom,2023.2.2,MacIntel,8.620689655,65c5074098b851296ff0b7ed,6642369078e260ff18e53a28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.2728,1,audio/Narrative8Situation1.wav,107.1806,space,107.1807,123.4735,"[[42.3,9893],[44.1,10074],[47.9,10254],[50,10435],[52.2,10615],[52.3,10793],[52.3,10968],[52.2,11145],[52.2,11318],[52.2,11490],[52.2,11664],[52.2,11832],[52.2,12001],[52.2,12167],[52.2,12339],[52.2,12512],[52.2,12681],[52.2,12852],[52.2,13021],[52.2,13192],[52.2,13363],[52.2,13535],[52.2,13707],[52.2,13880],[52.2,14055],[52.2,14222],[52.2,14393],[52.2,14566],[52.2,14734],[52.2,14907],[52.2,15078],[52.2,15250],[52.2,15426],[52.2,15598],[52.2,15773],[52.2,15945],[52.2,16114]]",1,0,123.4736,128.3987,97.737761,2.7349,"[{""rating"":97.73776099795387,""responseTime"":2.734900000005979}]",space,4.0366,,128.3988,Half the time,50,128.402,,,[],,0,1,1,1,1,audio/Narrative7Situation1.wav,audio/Narrative8Situation1.wav,audio/Narrative5Situation1.wav,audio/Narrative6Situation1.wav,2,5,5,2,1.7636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
