exp_question,consent.started,consent.stopped,consentResponse.keys,consentResponse.rt,consentResponse.duration,participantID,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,opening1.started,opening1.stopped,keyEndingOpening1.keys,keyEndingOpening1.rt,keyEndingOpening1.duration,volumeAdjust.started,volumeAdjust.stopped,endingAdjust.keys,endingAdjust.rt,endingAdjust.duration,opening2.started,opening2.stopped,keyEndingOpening.keys,keyEndingOpening.rt,keyEndingOpening.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,instructionLoop.ran,readyForAudio.started,readyForAudio.stopped,fixation.started,run,audio_played,fixation.stopped,endPractice.keys,audioPre.started,audioPre.stopped,continuousResponses_audio,continuousSlider.response,continuousSlider.rt,intRating.started,intRating.stopped,intQuestionSlider.response,intQuestionSlider.rt,intQuestionSlider.history,confirmResponse.keys,confirmResponse.rt,confirmResponse.duration,catchQuestion.started,catch_label,catch_value,catchQuestion.stopped,catchQuestionSlider.response,catchQuestionSlider.rt,catchQuestionSlider.history,confirmResponse_2.keys,audioRunLoop.thisRepN,audioRunLoop.thisTrialN,audioRunLoop.thisN,audioRunLoop.thisIndex,audioRunLoop.ran,conditions1_1,conditions2_1,conditions1_2,conditions2_2,dur1_1,dur2_1,dur1_2,dur2_2,endPractice.rt,endPractice.duration,confirmResponse_2.rt,confirmResponse_2.duration,runIntervalBreak.started,runIntervalBreak.stopped,endingBreakKey.keys,endingBreakKey.rt,endingBreakKey.duration,connection.started,connection.stopped,connectionEnding.keys,connectionEnding.rt,connectionEnding.duration,readyForText.started,readyForText.stopped,textPre.started,run_dup,textPre.stopped,continuousResponses_text,textRunLoop.thisRepN,textRunLoop.thisTrialN,textRunLoop.thisN,textRunLoop.thisIndex,textRunLoop.ran,text1_1,text1_2,text2_1,text2_2,runBreakText.started,runBreakText.stopped,endingBreakKey_2.keys,endingBreakKey_2.rt,endingBreakKey_2.duration,ending.started,ending.stopped,endingEnding.keys,endingEnding.rt,endingEnding.duration
tom,0.001,30.567,y,30.213,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,30.569,49.922,space,19.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,49.923,135.363,space,85.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,135.41,164.324,space,28.87,,[],[],[],[],[],[],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,164.355,240.004,space,75.501,,[],[],[],[],[],[],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,240.038,299.279,space,59.168,,[],[],[],[],[],[],2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,299.311,349.397,space,50.051,,[],[],[],[],[],[],3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,349.419,372.314,space,22.873,,[],[],[],[],[],[],4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,,,,,,,,,,,,,,,,,372.355,374.934,375.004,1,audio/Narrative13Situation2.wav,377.01,,377.011,406.793,"[[999,4],[999,170],[999,254],[999,337],[999,423],[999,504],[999,588],[999,671],[999,754],[999,831],[999,923],[999,998],[999,1089],[999,1165],[999,1253],[999,1337],[999,1414],[999,1504],[999,1587],[999,1670],[999,1755],[999,1831],[999,1921],[999,2003],[999,2084],[999,2171],[999,2251],[999,2331],[999,2414],[999,2505],[999,2587],[999,2671],[999,2754],[999,2831],[999,2920],[999,3004],[999,3088],[999,3164],[999,3248],[999,3337],[999,3419],[999,3504],[999,3581],[999,3664],[999,3754],[999,3838],[999,3914],[999,4003],[999,4088],[999,4165],[999,4253],[999,4330],[999,4421],[999,4504],[999,4581],[999,4664],[999,4753],[999,4834],[999,4920],[999,5003],[999,5086],[999,5171],[999,5254],[999,5330],[999,5420],[999,5504],[999,5588],[999,5663],[999,5755],[999,5834],[999,5919],[999,5997],[999,6080],[999,6171],[999,6247],[999,6337],[999,6414],[999,6503],[999,6581],[999,6670],[999,6755],[999,6830],[999,6913],[999,7003],[999,7081],[999,7170],[999,7254],[999,7337],[999,7413],[999,7503],[999,7584],[999,7664],[999,7747],[999,7830],[999,7920],[999,8004],[999,8080],[999,8164],[999,8247],[999,8336],[999,8420],[999,8503],[999,8580],[999,8669],[999,8747],[999,8836],[999,8920],[999,8997],[999,9080],[999,9164],[999,9254],[999,9330],[999,9413],[999,9497],[999,9586],[999,9663],[999,9752],[999,9830],[999,9913],[999,9997],[999,10087],[999,10163],[999,10247],[999,10336],[999,10413],[999,10503],[999,10584],[999,10670],[999,10746],[999,10836],[999,10913],[999,10996],[999,11080],[999,11169],[999,11246],[999,11335],[999,11413],[999,11503],[999,11580],[999,11663],[999,11750],[999,11838],[999,11919],[999,11996],[999,12080],[999,12168],[999,12253],[999,12336],[999,12414],[999,12497],[999,12584],[999,12670],[999,12746],[999,12835],[999,12914],[999,12996],[999,13084],[999,13169],[999,13245],[999,13336],[999,13413],[999,13503],[999,13587],[999,13663],[999,13746],[999,13837],[999,13913],[999,13996],[999,14085],[999,14163],[999,14252],[999,14339],[999,14413],[999,14497],[999,14586],[999,14669],[999,14746],[999,14829],[999,14913],[999,14996],[999,15087],[999,15163],[999,15253],[999,15329],[999,15412],[999,15496],[999,15586],[999,15666],[999,15746],[999,15835],[999,15919],[999,16002],[999,16079],[999,16163],[999,16252],[999,16335],[999,16418],[999,16496],[999,16579],[999,16662],[999,16751],[999,16829],[999,16912],[999,16996],[999,17085],[999,17170],[999,17245],[999,17331],[999,17412],[999,17497],[999,17585],[999,17670],[999,17752],[999,17830],[999,17912],[999,17996],[999,18082],[999,18163],[999,18251],[999,18329],[999,18418],[999,18502],[999,18579],[999,18662],[999,18752],[999,18836],[999,18918],[999,18995],[999,19085],[999,19162],[999,19246],[999,19335],[999,19413],[999,19501],[999,19585],[999,19662],[999,19748],[999,19835],[999,19920],[999,19996],[999,20086],[999,20162],[999,20245],[999,20335],[999,20418],[999,20503],[999,20586],[999,20662],[999,20751],[999,20835],[999,20918],[999,20995],[999,21085],[999,21169],[999,21245],[999,21336],[999,21416],[999,21500],[999,21579],[999,21662],[999,21746],[999,21834],[999,21915],[999,21995],[999,22085],[999,22162],[999,22251],[999,22335],[999,22418],[999,22495],[999,22586],[999,22665],[999,22751],[999,22829],[999,22918],[999,23000],[999,23085],[999,23161],[999,23245],[999,23329],[999,23411],[999,23501],[999,23584],[999,23661],[999,23751],[999,23835],[999,23918],[999,23995],[999,24084],[999,24161],[999,24245],[999,24334],[999,24414],[999,24500],[999,24585],[999,24668],[999,24752],[999,24834],[999,24912],[999,25002],[999,25084],[999,25169],[999,25252],[999,25327],[999,25411],[999,25500],[999,25585],[999,25662],[999,25750],[999,25834],[999,25918],[999,26002],[999,26081],[999,26164],[999,26245],[999,26334],[999,26416],[999,26495],[999,26584],[999,26668],[999,26752],[999,26834],[999,26911],[999,27002],[999,27084],[999,27168],[999,27250],[999,27334],[999,27412],[999,27495],[999,27584],[999,27665],[999,27745],[999,27831],[999,27918],[999,28001],[999,28082],[999,28161],[999,28252],[999,28334],[999,28411],[999,28500],[999,28581],[999,28668],[999,28745],[999,28834],[999,28911],[999,28995],[999,29079],[999,29168],[999,29250],[999,29331],[999,29411],[999,29500],[999,29584],[999,29680],[999,29766]]",1,0,406.794,428.307,83.22916985,17.953,"[{""rating"":77.91666984558105,""responseTime"":16.138000000000034},{""rating"":83.22916984558105,""responseTime"":17.95300000000003}]",space,20.966,,428.343,Half the time,50,428.354,,,[],,0,0,0,0,1,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,audio/Narrative13Situation2.wav,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65dcca0d187f1e33aa00fca1,2024-05-13_12h24.17.567,group3.1-3.2-social-tom,2023.2.2,Win32,58.82352941,65c5074098b851296ff0b7ed,66423e5ddfb32246cf0ce052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.356,1,audio/Narrative8Situation1.wav,435.12,space,435.12,451.035,[],1,0,451.035,463.373,60.52083969,10.723,"[{""rating"":60.52083969116211,""responseTime"":10.72300000000007}]",space,11.799,,463.373,All the time,100,463.383,,,[],,0,1,1,1,1,audio/Narrative7Situation1.wav,audio/Narrative8Situation1.wav,audio/Narrative5Situation1.wav,audio/Narrative6Situation1.wav,2,5,5,2,6.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
